Language,WorkTime
Khmer,Vollzeit
Hiri Motu,Teilzeit
Dhivehi,Vollzeit
Tsonga,Teilzeit
Belarusian,Teilzeit
Armenian,Vollzeit
Polish,Vollzeit
Mongolian,Vollzeit
Haitian Creole,Teilzeit
Kurdish,Vollzeit
Estonian,Vollzeit
Malayalam,Vollzeit
Afrikaans,Vollzeit
Albanian,Vollzeit
Catalan,Vollzeit
Nepali,Vollzeit
Albanian,Vollzeit
Maltese,Vollzeit
Armenian,Teilzeit
Swati,Vollzeit
Pashto,Teilzeit
Malay,Teilzeit
Hungarian,Vollzeit
Burmese,Vollzeit
Hebrew,Teilzeit
Tajik,Vollzeit
Assamese,Teilzeit
Danish,Vollzeit
Quechua,Vollzeit
Azeri,Vollzeit
West Frisian,Vollzeit
Persian,Teilzeit
Lao,Vollzeit
Malagasy,Vollzeit
Thai,Vollzeit
Aymara,Vollzeit
Swati,Vollzeit
Catalan,Vollzeit
Malayalam,Teilzeit
Kazakh,Vollzeit
Finnish,Teilzeit
Georgian,Vollzeit
Macedonian,Vollzeit
Filipino,Vollzeit
Romanian,Vollzeit
Polish,Vollzeit
Afrikaans,Teilzeit
Nepali,Teilzeit
Japanese,Vollzeit
Belarusian,Teilzeit
Icelandic,Teilzeit
Hiri Motu,Teilzeit
Bosnian,Vollzeit
Azeri,Teilzeit
Thai,Teilzeit
Tajik,Teilzeit
Assamese,Teilzeit
Latvian,Vollzeit
Bosnian,Teilzeit
Swati,Vollzeit
Punjabi,Teilzeit
Kazakh,Vollzeit
Macedonian,Vollzeit
Hiri Motu,Teilzeit
Kashmiri,Teilzeit
Bosnian,Vollzeit
Montenegrin,Vollzeit
Pashto,Vollzeit
Finnish,Teilzeit
Finnish,Vollzeit
Lao,Vollzeit
Indonesian,Teilzeit
Catalan,Teilzeit
Catalan,Teilzeit
Guaraní,Vollzeit
Hindi,Vollzeit
Aymara,Teilzeit
Māori,Vollzeit
Aymara,Vollzeit
Kurdish,Teilzeit
Punjabi,Vollzeit
Somali,Vollzeit
Lao,Teilzeit
Guaraní,Vollzeit
Malay,Vollzeit
Kyrgyz,Vollzeit
Hungarian,Vollzeit
Norwegian,Teilzeit
Finnish,Vollzeit
Lao,Teilzeit
Portuguese,Vollzeit
Thai,Teilzeit
Catalan,Teilzeit
Danish,Teilzeit
Thai,Teilzeit
Azeri,Vollzeit
Quechua,Vollzeit
