Gender,Language
Male,Greek
Female,Chinese
Male,French
Female,Sotho
Female,Luxembourgish
Female,Montenegrin
Female,Malayalam
Female,Dzongkha
Female,Croatian
Female,Afrikaans
Male,Dutch
Female,Moldovan
Female,Filipino
Male,Bosnian
Female,French
Female,Georgian
Female,Aymara
Female,Tsonga
Female,Telugu
Male,Māori
Male,Chinese
Male,Lao
Female,Malayalam
Female,Swahili
Male,Kazakh
Male,Luxembourgish
Female,Croatian
Male,Kazakh
Female,Norwegian
Female,Pashto
Male,Marathi
Male,Telugu
Male,Dhivehi
Male,Malagasy
Male,Malay
Female,Gagauz
Male,Indonesian
Male,Punjabi
Male,Tswana
Female,Hungarian
Male,Thai
Male,Bislama
Female,Norwegian
Female,Filipino
Male,Georgian
Male,Dari
Male,Papiamento
Female,Bulgarian
Male,Gujarati
Male,Tsonga
Female,Moldovan
Female,Lao
Female,Somali
Female,English
Male,Tajik
Male,Swati
Male,Indonesian
Male,Swati
Female,Portuguese
Male,Amharic
Male,Irish Gaelic
Female,Greek
Female,Marathi
Male,French
Female,Filipino
Female,Polish
Male,Quechua
Male,Kyrgyz
Female,Czech
Female,Northern Sotho
Female,Assamese
Female,Nepali
Female,Czech
Male,Haitian Creole
Female,Spanish
Male,Gagauz
Male,Azeri
Male,Mongolian
Female,Persian
Male,Gujarati
Female,Fijian
Female,Nepali
Male,Hungarian
Male,Polish
Female,Gagauz
Female,Greek
Female,Māori
Female,Gujarati
Male,Assamese
Male,Tamil
Male,Kannada
Female,Dari
Female,Tamil
Male,Dhivehi
Female,Latvian
Male,Lao
Female,Tok Pisin
Male,Irish Gaelic
Male,Thai
Male,Dari
Female,Khmer
Female,Tetum
Male,Khmer
Female,Bengali
Male,Dhivehi
Female,Montenegrin
Male,Māori
Male,Marathi
Male,Hungarian
Female,Yiddish
Male,Kyrgyz
Female,Macedonian
Male,Azeri
Female,Tetum
Male,Norwegian
Female,Belarusian
Female,Irish Gaelic
Female,Sotho
Male,Georgian
Female,Swati
Female,Khmer
Female,Kashmiri
Female,Armenian
Female,Hungarian
Male,Icelandic
Female,Croatian
Female,Armenian
Female,Chinese
Male,Malagasy
Female,West Frisian
Male,Burmese
Male,Fijian
Male,Azeri
Female,Dutch
Female,Tswana
Male,Kazakh
Female,Irish Gaelic
Female,Macedonian
